Microsoft (R) COFF/PE Dumper Version 14.16.27045.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\Windows\System32\shell32.dll

File Type: DLL

  Section contains the following exports for SHELL32.dll

    00000000 characteristics
    AAC0FFE2 time date stamp
        0.00 version
           2 ordinal base
        2000 number of functions
         477 number of names

    ordinal hint RVA      name

        228  173 00205FF0 SHHelpShortcuts_RunDLL
        229  174 00205FF0 SHHelpShortcuts_RunDLLA
        238  175 002060A0 SHHelpShortcuts_RunDLLW
         28  176 002712C0 SHILCreateFromPath
        540  177 001D7990 SHInvokePrinterCommandA
        541  178 001D7A80 SHInvokePrinterCommandW
        542  179 002188A0 SHIsFileAvailableOffline
        747  17A 002B4430 SHLimitInputEdit
        543  17B 000DA420 SHLoadInProc
        544  17C 00218B60 SHLoadNonloadedIconOverlayIdentifiers
         77  17D 000D87A0 SHMapPIDLToSystemImageListIndex
        716  17E 002B50F0 SHMultiFileProperties
        178  17F 00206250 SHObjectProperties
        545  180 0022A790 SHOpenFolderAndSelectItems
         80  181 002B5110 SHOpenPropSheetW
        546  182 001C3F30 SHOpenWithDialog
        547  183 000664D0 SHParseDisplayName
        548  184 001BF1B0 SHPathPrepareForWriteA
        549  185 001BF1D0 SHPathPrepareForWriteW
        685  186 00256B60 SHPropStgCreate
        688  187 00256B80 SHPropStgReadMultiple
        689  188 00256BA0 SHPropStgWriteMultiple
        550  189 002B6700 SHQueryRecycleBinA
        551  18A 002B6790 SHQueryRecycleBinW
        552  18B 00256BC0 SHQueryUserNotificationState
        553  18C 0022ABD0 SHRemoveLocalizedName
        170  18D 0027E320 SHReplaceFromPropSheetExtArray
        554  18E 00256C70 SHResolveLibrary
        100  18F 00065F70 SHRestricted
        555  190 0027E070 SHSetDefaultProperties
        231  191 00256C90 SHSetFolderPathA
        232  192 00256CB0 SHSetFolderPathW
        176  193 000B9FB0 SHSetInstanceExplorer
        556  194 00256CD0 SHSetKnownFolderPath
        557  195 0022AC70 SHSetLocalizedName
        558  196 000CBA30 SHSetTemporaryPropertyForItem
        559  197 00218CE0 SHSetUnreadMailCountW
         73  198 002A2760 SHShellFolderView_Message
        560  199 004EB5A0 SHShowManageLibraryUI
        162  19A 00218F10 SHSimpleIDListFromPath
         14  19B 002A6970 SHStartNetConnectionDialogW
        245  19C 000B8500 SHTestTokenMembership
        191  19D 0027DCA0 SHUpdateImageA
        192  19E 0027DD10 SHUpdateImageW
        561  19F 000BA0F0 SHUpdateRecycleBinIcon
        173  1A0 00265AE0 SHValidateUNC
        562  1A1 0010E8B0 SetCurrentProcessExplicitAppUserModelID
        563  1A2 001B26A0 SheChangeDirA
        564  1A3 001B2720 SheChangeDirExW
        565  1A4 001B2D30 SheGetDirA
        566  1A5 001B2F80 SheSetCurDrive
        567  1A6 002C6840 ShellAboutA
        568  1A7 002C6970 ShellAboutW
        569  1A8 001DE000 ShellExec_RunDLL
        570  1A9 001DE000 ShellExec_RunDLLA
        571  1AA 001DE0B0 ShellExec_RunDLLW
        572  1AB 001DE210 ShellExecuteA
        573  1AC 001DE2B0 ShellExecuteEx
        574  1AD 001DE2B0 ShellExecuteExA
        575  1AE 0005E4F0 ShellExecuteExW
        576  1AF 00109080 ShellExecuteW
        577  1B0 0010E8D0 ShellHookProc
        183  1B1          ShellMessageBoxA (forwarded to shlwapi.ShellMessageBoxA)
        182  1B2          ShellMessageBoxW (forwarded to shlwapi.ShellMessageBoxW)
         72  1B3 00264DD0 Shell_GetCachedImageIndex
        578  1B4 00264DE0 Shell_GetCachedImageIndexA
        579  1B5 000511E0 Shell_GetCachedImageIndexW
         71  1B6 000B7750 Shell_GetImageLists
         67  1B7 00047D40 Shell_MergeMenus
        580  1B8 00256D10 Shell_NotifyIcon
        581  1B9 00256D10 Shell_NotifyIconA
        582  1BA 0010ACD0 Shell_NotifyIconGetRect
        583  1BB 00049130 Shell_NotifyIconW
        103  1BC 0009C7C0 SignalFileOpen
        584  1BD 000B71C0 StateRepoNewMenuCache_EnsureCacheAsync
        585  1BE 000394F0 StateRepoNewMenuCache_RebuildCacheAsync
        682  1BF 002C6D00 StgMakeUniqueName
        586  1C0 00114490 StrChrA
        587  1C1 001144A0 StrChrIA
        588  1C2 001144B0 StrChrIW
        589  1C3 001144C0 StrChrW
        590  1C4 001144D0 StrCmpNA
        591  1C5 001144E0 StrCmpNIA
        592  1C6 001144F0 StrCmpNIW
        593  1C7 00114500 StrCmpNW
        594  1C8 001B0C20 StrNCmpA
        595  1C9 001B0CE0 StrNCmpIA
        596  1CA 001B0DA0 StrNCmpIW
        597  1CB 001B0E70 StrNCmpW
        598  1CC 00114510 StrRChrA
        599  1CD 00114520 StrRChrIA
        600  1CE 00114530 StrRChrIW
        601  1CF 00114540 StrRChrW
        602  1D0 001B0F60 StrRStrA
        603  1D1 00114550 StrRStrIA
        604  1D2 00114560 StrRStrIW
        605  1D3 001B1040 StrRStrW
        606  1D4 00114570 StrStrA
        607  1D5 00114580 StrStrIA
        608  1D6 00114590 StrStrIW
        609  1D7 001145A0 StrStrW
        610  1D8 000206C0 UsersLibrariesFolderUI_CreateInstance
        611  1D9 001DE3C0 WOWShellExecute
        612  1DA 00255B30 WaitForExplorerRestartW
        164  1DB 001B1870 Win32DeleteFile
        652  1DC 0001CBE0 WriteCabinetState
          5               [NONAME] (forwarded to SHUNIMPL.#35)
          7               [NONAME] (forwarded to SHUNIMPL.#192)
          8               [NONAME] (forwarded to SHUNIMPL.#193)
         12      002B73C0 [NONAME]
         15      00270E40 [NONAME]
         20      00067310 [NONAME]
         26               [NONAME] (forwarded to SHUNIMPL.#36)
         29      002370B0 [NONAME]
         30               [NONAME] (forwarded to shlwapi.PathBuildRootW)
         31               [NONAME] (forwarded to shlwapi.PathFindExtensionW)
         32               [NONAME] (forwarded to shlwapi.PathAddBackslashW)
         33               [NONAME] (forwarded to shlwapi.PathRemoveBlanksW)
         34               [NONAME] (forwarded to shlwapi.PathFindFileNameW)
         35      002378F0 [NONAME]
         36      00236BF0 [NONAME]
         37               [NONAME] (forwarded to shlwapi.PathCombineW)
         38               [NONAME] (forwarded to shlwapi.PathStripPathW)
         39               [NONAME] (forwarded to shlwapi.PathIsUNCW)
         40               [NONAME] (forwarded to shlwapi.PathIsRelativeW)
         44      00239DC0 [NONAME]
         45      00236E00 [NONAME]
         46               [NONAME] (forwarded to shlwapi.PathMatchSpecW)
         48               [NONAME] (forwarded to shlwapi.PathSetDlgItemPathW)
         50               [NONAME] (forwarded to shlwapi.PathStripToRootW)
         52               [NONAME] (forwarded to shlwapi.PathGetArgsW)
         53               [NONAME] (forwarded to SHUNIMPL.#388)
         54      00252660 [NONAME]
         55               [NONAME] (forwarded to shlwapi.PathQuoteSpacesW)
         56               [NONAME] (forwarded to shlwapi.PathUnquoteSpacesW)
         57               [NONAME] (forwarded to shlwapi.PathGetDriveNumberW)
         58      002171C0 [NONAME]
         60      00252580 [NONAME]
         61      000EF530 [NONAME]
         65      000DE6B0 [NONAME]
         69      00271FE0 [NONAME]
         70      001AE7D0 [NONAME]
         76      001B3470 [NONAME]
         78               [NONAME] (forwarded to SHUNIMPL.#37)
         79               [NONAME] (forwarded to SHUNIMPL.#38)
         82               [NONAME] (forwarded to SHUNIMPL.#39)
